,a,b
81,"[282.8395626741836, 2171.006311403053, -76.7397631522599, -566.8880607597258]","[-0.9390219209541923, -7.198875062855603, 0.2589748355233213, 1.8849088208170677]"
82,"[-380.66660798982764, 1561.5800547838896, 679.4517172361358, 103.32651138628334]","[1.2654038513490264, -5.17699597336735, -2.2446148359763605, -0.33331032715244685]"
83,"[-424.1209798003308, 1087.5859182066215, 1382.7415414751804, -574.9546279951588]","[1.4103268169545562, -3.605580720947135, -4.575943688909915, 1.9099088223062382]"
84,"[1931.9448943672373, 816.4992088721949, 2086.36310553594, -1805.5130138232]","[-6.425449488149775, -2.7072493603086953, -6.9152504819459635, 5.985162420649413]"
85,"[152.18606036783342, 694.1291299391635, 1970.9723399524942, -26.047722190270882]","[-0.507215370805089, -2.3006544672732696, -6.532736030371569, 0.0883167500717306]"
86,"[-1179.1626549069279, 254.7917659586102, 1640.8795462413784, -135.35762350474548]","[3.9276077913889815, -0.8412045973910792, -5.438012785040677, 0.44916189513740595]"
87,"[881.7380086420358, -202.46641507467533, 920.9026584170182, -1125.0590434862572]","[-2.9426253690405244, 0.6789038728312242, -3.0487279585004217, 3.7321309103378115]"
88,"[-1231.0195002339328, -324.30736817015014, 38.93115565084773, -1027.6291012268937]","[4.103036352370498, 1.084539463037755, -0.11695226970027371, 3.4080626943152263]"
89,"[165.61922905745513, -14.729507311307957, 89.986418896178, 589.838206292465]","[-0.5573629877371568, 0.053678160862962565, -0.28756065615066145, -1.9660745815595535]"
90,"[-2669.1701308302368, -551.2807660788474, -314.4174564151706, -39.955831523454464]","[8.918229345409337, 1.8432533856547597, 1.0575670105055655, 0.12704115053548154]"
91,"[-3268.041541198818, -732.3456001505513, -584.6378608038094, -998.0569751898144]","[10.926706230698368, 2.44630493725903, 1.9598307480548602, 3.3173668420344944]"
92,"[-3572.2548386034896, -1033.120573741697, -416.91997498492236, -1394.698388755159]","[11.956555569723204, 3.4561975728578993, 1.400681775700893, 4.643891457790991]"
93,"[-4294.0694075626425, -846.0618328303071, 515.7367659804116, -951.7217733897803]","[14.388738454999316, 2.832611768227579, -1.714982911591158, 3.1698157162021636]"
94,"[-3168.9475034595744, -1015.5886219805514, 256.94535602733896, -2517.02409392818]","[10.626427864726292, 3.4047649091824885, -0.8540065140533539, 8.408790461170225]"
95,"[1693.0676831261535, -2135.239064387104, -252.0481046557995, -1648.9578386438195]","[-5.6896481167539115, 7.167289747625628, 0.847607900858645, 5.514506392708553]"
96,"[-726.8725801957728, -816.5134420982815, -236.5572593191125, -1595.7903467647504]","[2.4367078562824482, 2.74612731394691, 0.7962566035022449, 5.338224132955866]"
97,"[-657.2351506903301, -843.8942472705098, -187.58913956461544, -2042.7262029678689]","[2.204232896298202, 2.841862116487046, 0.6317584451724482, 6.841065624263068]"
98,"[625.8487445144286, -1383.2086275468525, -207.43160139060288, -1758.1287491056262]","[-2.117267887592101, 4.661285616848574, 0.6979682631428277, 5.8993476965776015]"
99,"[-3632.8843970063126, -1895.4858193477871, -526.4412759046697, 433.69093696853514]","[12.243957948638704, 6.391501276114333, 1.7712794467267776, -1.4615349364475605]"
100,"[-824.2035856496915, -530.293649755078, -1040.831183776535, -616.1597566123859]","[2.7704373498469193, 1.7934918030422253, 3.5048430423151156, 2.071638956826477]"
101,"[-2617.060879594896, -676.8169960293501, -1343.2422298689364, 2456.363949579071]","[8.827289689361535, 2.2905108056928, 4.5299299746756745, -8.277644233778341]"
102,"[-743.3125598982158, -1352.9711607672598, -1102.747423808027, 2679.3962940264773]","[2.5045413624982276, 4.579790020177387, 3.7220610412238813, -9.042643851651771]"
103,"[142.26937623641848, -1571.4020737292776, -2034.626293570279, 3067.4147137193836]","[-0.4908211927527541, 5.324942160204962, 6.880450938995712, -10.36264386708918]"
104,"[-614.1317652905328, -502.0659320844086, -1365.30508981335, 3630.4933787682103]","[2.0741669735968564, 1.709520533917308, 4.62135788120102, -12.284763190421453]"
105,"[798.8362901936397, -1006.2736270398412, -951.6908094589984, 3750.1569305712774]","[-2.7201037968178827, 3.4267364091532158, 3.2286948951712895, -12.701789915601262]"
