,a,b
192,"[-1206.4870937175174, -99.8274551520273, -443.7866573627778]","[3.9753914746461074, 0.32275372866766533, 1.4612495939017014]"
193,"[-1213.1999385639874, -239.62568914418182, -1557.6982842329433]","[3.995686896067453, 0.7844451678486883, 5.1349603118371006]"
194,"[-1782.8902821791253, -298.4166866962103, -549.6783639259406]","[5.881188125214034, 0.9787929565390598, 1.808998953887054]"
195,"[-589.0637637972211, 273.5796475677605, -637.4971343389121]","[1.9357203925166453, -0.9106030047607211, 2.0977923239479286]"
196,"[180.90925984920912, -1269.519744339588, 41.052748789336526]","[-0.6078949723262121, 4.180318827122427, -0.14236123753139296]"
197,"[nan, nan, nan]","[nan, nan, nan]"
198,"[nan, nan, nan]","[nan, nan, nan]"
199,"[599.3552554262931, -815.7485852128124, 652.7158050096273]","[-1.9883412765940507, 2.6819655631388186, -2.161629547733967]"
200,"[607.8560390142845, 305.80124789178967, -1670.8887455651272]","[-2.0187938861198607, -1.0204976933727494, 5.514261852722327]"
201,"[nan, nan, nan]","[nan, nan, nan]"
202,"[-117.74318315585472, 1669.09659483687, -262.65903018045947]","[0.38185852657911845, -5.5351463668548675, 0.8714513833175336]"
203,"[-158.26648687035964, 1467.2255380660085, -354.5992079915734]","[0.5155483511194958, -4.869026091264172, 1.1807352050859554]"
204,"[-561.4474853737197, 1073.8972234443854, -612.6630052352328]","[1.8487141855610159, -3.565877627331784, 2.033889380451739]"
205,"[-502.6534147463597, 1180.636107167204, -929.6671437728853]","[1.6556961475815937, -3.92021428804563, 3.076732131054298]"
206,"[7.992681109948998, 293.25516404313873, -481.76161706792925]","[-0.03021729782975573, -0.9850835978468451, 1.5896396561276196]"
207,"[-1519.950214822872, -857.185256865912, -788.5015321878528]","[5.021174240703889, 2.8141273444877752, 2.602849748779274]"
208,"[-545.003971337199, -664.5842315492238, -236.93444504574987]","[1.8010782573008248, 2.175876756176184, 0.7778292598102972]"
209,"[941.4124878214468, -203.300389807572, 805.1749896068159]","[-3.1057629538646565, 0.6497285299617926, -2.6651468117054424]"
210,"[1814.4938630125678, 236.81970141280087, 1322.910320219656]","[-5.990589982866657, -0.8039167677761789, -4.379521337213465]"
211,"[1430.9943534398385, 731.0766407178518, 993.361969365784]","[-4.721725269650315, -2.435711095879933, -3.29116355347066]"
212,"[3718.6756245147467, -722.38581463744, -9.819614317086993]","[-12.266465796590076, 2.359991606410535, 0.024594139528920214]"
213,"[-1174.3216742527259, -1353.0116344062722, -349.7355601386677]","[3.882460109974809, 4.441939021227784, 1.1463835204892971]"
214,"[1642.994043640914, -1807.5899663690798, -1419.934644265819]","[-5.411805792515976, 5.940257479962932, 4.681815998111398]"
215,"[1630.5373195367144, -2587.687232652381, -3273.2952016685676]","[-5.367997011733472, 8.509080411311079, 10.802635660378842]"
216,"[1908.5326690868221, -2019.1432393180608, -369.03453159515]","[-6.281749305131155, 6.63533492450017, 1.21647027716606]"
217,"[1725.0947373119047, 2243.4058762993723, -3391.451773105618]","[-5.681179248783808, -7.430439467332972, 11.193901056621906]"
218,"[958.4473002640142, 467.4312521812943, -2468.8157575959794]","[-3.1532904019783943, -1.5666515252785265, 8.14229378691654]"
219,"[1234.1103817415813, 4324.543521686781, -2335.616956455773]","[-4.063933844731113, -14.287649546958473, 7.70182658373856]"
220,"[920.2063628214032, 4932.682317596343, 1355.5972800811962]","[-3.0315272667413526, -16.306188690349668, -4.471126594823224]"
221,"[1365.324759406221, 3969.3191759485594, 4184.3342219393935]","[-4.501316927245928, -13.128966441143929, -13.806629668078825]"
222,"[1052.1065546387701, 3939.940396168148, 2805.084363965502]","[-3.468330105705227, -13.030853610908943, -9.259618819311898]"
223,"[2260.4828506895938, -1430.4041826368627, 3772.777547586746]","[-7.459985509298513, 4.718692990036691, -12.462267342542862]"
224,"[776.0639649502135, -1139.338844943618, 2733.0849014233954]","[-2.5619734575197453, 3.7616898525306057, -9.02302764328963]"
225,"[2350.169407416599, -3003.332035822492, 2912.1316965833853]","[-7.769853967854482, 9.92956894324132, -9.617405305246104]"
226,"[1493.6199634467862, 220.6110088677827, 1628.1959535595474]","[-4.9413358178378255, -0.7284465406976969, -5.378918964391525]"
227,"[567.1118688628932, -1584.6619900044345, -5394.441308851416]","[-1.8784589168857282, 5.245901830381583, 17.842821267954715]"
