,a,b
103,"[1459.6173677832553, 6621.727462548561, -6474.587205688754]","[-4.914557944541572, -22.261702212398266, 21.76919284466826]"
104,"[1791.331272244526, 3031.963127494392, -11606.413187615437]","[-6.04005825179707, -10.210626481826603, 39.03943837735005]"
105,"[1408.4217494608886, 2538.6761649824393, -9884.718872847785]","[-4.755867015009728, -8.555293638986113, 33.268202077646826]"
106,"[449.32985767999224, 3221.678099374244, -10579.05206337908]","[-1.522700976701417, -10.865723023499777, 35.61011751595237]"
107,"[133.64631764995667, 3467.0845615922262, -4581.536563348381]","[-0.45991685334051197, -11.69863640979421, 15.422260744452984]"
108,"[637.9932759218008, -335.055409450282, -9950.021768250937]","[-2.174889959212442, 1.129084674330428, 33.469865309416164]"
109,"[665.5465314077253, 178.51785512068707, -536.7175743391483]","[-2.2705818853215045, -0.5953103530856709, 1.8002886385278734]"
110,"[1461.0512994523917, 4909.687048414383, 521.2245174564325]","[-4.971171331281092, -16.51819202197287, -1.75048738054788]"
111,"[1479.3086146384437, 2437.1584952025314, 885.1691311175657]","[-5.033530252661, -8.170607123473182, -2.96403468287308]"
112,"[88.56795174739324, 2458.2727817143773, 2871.0340790302976]","[-0.3369858528251807, -8.24322099527603, -9.616258305940619]"
113,"[-3530.8273221839167, -179.45351866803256, 5441.503251581729]","[11.897253531331643, 0.6474244642063568, -18.28131601464323]"
114,"[nan, nan, nan]","[nan, nan, nan]"
115,"[nan, nan, nan]","[nan, nan, nan]"
116,"[nan, nan, nan]","[nan, nan, nan]"
117,"[nan, nan, nan]","[nan, nan, nan]"
118,"[nan, nan, nan]","[nan, nan, nan]"
119,"[nan, nan, nan]","[nan, nan, nan]"
120,"[nan, nan, nan]","[nan, nan, nan]"
121,"[nan, nan, nan]","[nan, nan, nan]"
122,"[nan, nan, nan]","[nan, nan, nan]"
123,"[nan, nan, nan]","[nan, nan, nan]"
124,"[nan, nan, nan]","[nan, nan, nan]"
125,"[nan, nan, nan]","[nan, nan, nan]"
126,"[nan, nan, nan]","[nan, nan, nan]"
127,"[nan, nan, nan]","[nan, nan, nan]"
128,"[nan, nan, nan]","[nan, nan, nan]"
129,"[-3939.956083022638, 37889.4888382153, 28743.237725583054]","[13.052529941320392, -125.59594926831656, -95.22028036507079]"
130,"[-2548.728582619507, -7957.868632073969, 10053.707063903723]","[8.444409909610004, 26.43277508758303, -33.37141399279949]"
131,"[-1431.6070042063088, -7012.791242330951, 10474.774972641446]","[4.744114865479343, 23.336633613272138, -34.79592169458544]"
132,"[-2163.793944856963, -22442.594317510473, 5896.690362353235]","[7.197943422052777, 74.68655824527906, -19.625372028646886]"
133,"[-733.2306868141151, -21918.728436497135, 10097.407657851503]","[2.435104551458734, 73.0343514654113, -33.61504987050166]"
134,"[500.3466795195604, -3957.0764979686783, 3623.130477627449]","[-1.683232205476523, 13.217948811047048, -12.08896727221196]"
135,"[329.0808321928062, -3807.9266284020396, 5191.618958286283]","[-1.1141521726817094, 12.717211851763082, -17.311728785942815]"
136,"[598.0343098230987, -1406.2673553699633, 810.3031586155945]","[-2.0180712174548123, 4.701183660057976, -2.709641088517446]"
137,"[486.1952187521406, -8413.09982217086, -3677.5735652034605]","[-1.6405769035888944, 28.107015878498334, 12.27012627917739]"
138,"[811.9074479797213, -9903.549883542943, -5097.510527705241]","[-2.737064373143477, 33.10564325557969, 17.03033290494051]"
139,"[855.7842052687182, -2445.8748500799584, -4943.135583979949]","[-2.8856312878754005, 8.18093337985295, 16.522790868630764]"
140,"[878.9907232493106, -4707.490562856024, -9975.124596492027]","[-2.9618885221553573, 15.747590663911394, 33.34633919299114]"
141,"[964.6129238258771, 1044.6855232924859, -6627.009275884658]","[-3.2494062859544677, -3.4887016741638304, 22.179849286279552]"
142,"[911.6289509581927, 5896.669914910143, -9659.948033011471]","[-3.074518515385079, -19.743766062143358, 32.359803279864124]"
143,"[1459.0347382727653, 12652.437661138578, 575.6746144503952]","[-4.914693635164087, -42.41175906636767, -1.909297692668378]"
144,"[721.1387337060618, -4585.842551019131, 413.4932480864438]","[-2.4201537170061553, 15.377472381540272, -1.368310809599561]"
145,"[613.8988153493442, 2415.9665317710546, 2648.8610274358034]","[-2.055784951983992, -8.07598149122938, -8.853693457694256]"
146,"[-192.24570518304301, 8409.261660159205, -521.6455696694482]","[0.6506771574465765, -28.140724229578858, 1.7521782609713779]"
147,"[-823.9162863275834, 9006.482050474679, 4828.365587173924]","[2.7698910780676087, -30.11232816168225, -16.131122344373914]"
148,"[-1874.3660898030014, 8284.194283669278, 2160.12950171903]","[6.268469343739783, -27.69256249721393, -7.202821304238682]"
149,"[-5978.202894202401, -16222.271496405863, -1934.0747972678266]","[19.935583541418204, 53.97162374951941, 6.394210068837202]"
150,"[nan, nan, nan]","[nan, nan, nan]"
151,"[nan, nan, nan]","[nan, nan, nan]"
152,"[nan, nan, nan]","[nan, nan, nan]"
153,"[nan, nan, nan]","[nan, nan, nan]"
154,"[nan, nan, nan]","[nan, nan, nan]"
155,"[nan, nan, nan]","[nan, nan, nan]"
156,"[nan, nan, nan]","[nan, nan, nan]"
157,"[nan, nan, nan]","[nan, nan, nan]"
158,"[nan, nan, nan]","[nan, nan, nan]"
159,"[nan, nan, nan]","[nan, nan, nan]"
160,"[nan, nan, nan]","[nan, nan, nan]"
161,"[-13478.151263887185, -7499.135883083932, 13774.208586107867]","[44.822022534251566, 24.84668439691956, -45.588197663044724]"
162,"[-6885.095877614322, -9515.286023156292, 10691.774069649602]","[22.927969873670914, 31.518889570222335, -35.400681136832354]"
163,"[-3439.63592711191, -8443.12521941936, 16222.65297124651]","[11.470308159661506, 27.93022448351971, -53.661885551323095]"
164,"[-1818.1628572452842, 5467.755173879507, -21560.10824141944]","[6.072456853437019, -18.13243402314182, 71.49681884094112]"
165,"[-2394.7298109278827, 6444.613034694292, -44361.73242621566]","[7.992144561934697, -21.38285528460755, 146.92536749063788]"
166,"[1529.505438289155, 1532.063057284194, -4060.097905880155]","[-5.044609792352094, -5.148772442021816, 13.465013296501976]"
167,"[845.2923716509127, 1747.0053726900967, 7403.213702878984]","[-2.755525911497794, -5.8734565071022855, -24.438602606297152]"
168,"[2699.685663683146, 8877.944389268678, 35065.53153625989]","[-8.8568575889418, -29.4433537877917, -115.97695473666535]"
169,"[5129.2230573994375, 4304.999164300347, 46200.436651265896]","[-16.865652884769162, -14.28814641305915, -152.63511837551223]"
170,"[4938.542325445181, -1214.1140287492717, 26176.961152652966]","[-16.22091142758227, 4.005909034843031, -86.4554322818715]"
171,"[7392.266404425059, 5679.66850070576, 15349.49587108435]","[-24.36303165755028, -18.809285419600453, -50.7369477896131]"
172,"[12356.938657714954, 26094.779221475088, 12872.144797995987]","[-40.7948040582657, -86.44385375338582, -42.54016414822733]"
173,"[17018.697188988557, 14418.4457629374, 14342.870876267758]","[-56.21910032792716, -47.75484200951172, -47.399154432684206]"
174,"[14078.557123110873, 7227.358681773465, 15543.202163904883]","[-46.51950503942791, -23.923675788902038, -51.38410411591538]"
175,"[24870.118599540838, 16343.76177273011, 9401.757589132712]","[-82.2242579823094, -54.0901454318948, -31.09797300256396]"
176,"[24520.98330102427, 6397.974901078974, 16506.268374414114]","[-81.05593695081595, -21.12563023453326, -54.52677117492774]"
177,"[25448.631552927407, -7160.52423109671, 17958.65506472319]","[-84.0945916733685, 23.80080801816072, -59.335084586650574]"
178,"[10385.760493613627, -11026.488739882232, 15996.807008058078]","[-34.33061117014335, 36.584082507058426, -52.88004373877937]"
179,"[-4952.120918265721, -18633.03569306663, 17106.759917052677]","[16.384621858486895, 61.76245241107041, -56.55209519910135]"
180,"[-13741.825004614797, 33823.20772335757, 16481.46108030458]","[45.540572410949125, -111.87757296814978, -54.48725227172137]"
181,"[-14931.862464376754, 26473.999412065878, 15279.022446366562]","[49.517489151159644, -87.52926954562527, -50.54173038943257]"
182,"[-8767.769952374681, 8264.21804901687, 16623.538023985744]","[29.043373300061884, -27.31684890853608, -55.01160728459504]"
183,"[-7397.8295617666845, -10476.818410362013, -852.7844007952641]","[24.484090012748712, 34.680966497164526, 2.798004613684512]"
184,"[-6206.160494896076, 2119.425927895262, 1736.5847274416722]","[20.483188637887356, -6.966949044263645, -5.763994935665053]"
