,a,b
132,"[-2033.4375218352177, 6186.969868407357, 4343.260035656901, 17601.38621163866]","[6.821519098127802, -20.714150762987227, -14.501712225358043, -58.759368727093964]"
133,"[3667.994883206649, 1872.1174212591322, 8124.537970680065, 26281.792021289362]","[-12.321074125266147, -6.266490051549636, -27.1957950870216, -87.90686692137736]"
134,"[4321.024336074787, 3089.7851591388967, 3508.653547657765, 16636.897428589502]","[-14.529693702824018, -10.37014075250889, -11.762574103971243, -55.693110994490695]"
135,"[3266.015706293852, 2753.311392029478, 4614.491727702197, -2851.4602694921405]","[-10.991416992313876, -9.260599390499202, -15.503995386858804, 9.628936263415182]"
136,"[2596.3306887841377, 104.62578851885581, 5811.526082321864, 7778.96071812619]","[-8.747634629749449, -0.35209306838794807, -19.572266032686347, -26.15645644714853]"
137,"[6580.613597541117, 1403.3396797262708, 4547.648553640297, 4443.526458472255]","[-22.200378787598297, -4.734282000793159, -15.348128562431883, -14.97315515116832]"
138,"[5356.599298939266, 3141.5961982239514, 2637.0064026125283, 2328.261907325239]","[-18.115962476185253, -10.620976936623263, -8.92062951625659, -7.865173977030217]"
139,"[9459.521535790318, -2067.9143380410364, -474.34182312196566, 1481.0891139868047]","[-32.0400572711953, 7.0170572327560645, 1.6038394339501927, -5.011197941738627]"
140,"[7812.202960967326, -4317.182480723954, -451.8447039962233, 53.64261724504402]","[-26.498301652399604, 14.674690240807127, 1.5293794643499905, -0.1904960249429399]"
141,"[8126.696299396024, -291.83329949951025, -1376.7736496814516, -543.1609217899979]","[-27.634960597933045, 1.0031015250868172, 4.67415505645755, 1.8268436367870828]"
142,"[8853.227308834154, -4171.765356265947, -2576.5729766323043, -925.7575154990834]","[-30.13352190402271, 14.233571211174269, 8.76626907648249, 3.126634991933096]"
143,"[6810.265253933962, -3573.1236006769054, -1841.8698623433017, -1014.5905467099593]","[-23.241686260799817, 12.216891784042382, 6.2666785624849, 3.4252946196009875]"
144,"[4798.20290361835, -1669.0005775853172, -572.8623973401388, -1759.8153632644576]","[-16.318253010695795, 5.6913099075183196, 1.947037113775863, 5.93919880757134]"
145,"[-358.47119213059943, -601.5536762566951, -187.7454854051058, -1743.4435304858193]","[1.2310174643438223, 2.0650637798828058, 0.6389429287264962, 5.877944972810074]"
146,"[-5772.072782607022, -184.4596354068315, -617.5985204981165, -815.4511495875485]","[19.751146787016392, 0.6416633430440513, 2.1002788664265974, 2.73633490366215]"
147,"[-6011.726859153451, -1143.1460840420464, -113.43226161753581, 2043.585770259809]","[20.53793519610608, 3.9135057313561195, 0.392428376578843, -6.894556433455742]"
148,"[-7720.619368363165, 432.29225508672624, -783.4030672351377, 2440.929830706689]","[26.27728191731793, -1.4524175766267031, 2.6559294855602356, -8.198179499037973]"
149,"[-4727.66396225814, -447.7371068316339, 4004.9143448089567, 4438.793563490448]","[16.074488927889174, 1.5259027545419501, -13.347629178872669, -14.800922817379695]"
150,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
151,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
152,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
153,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
154,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
155,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
156,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
157,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
158,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
159,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
160,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
161,"[5177.706316876429, 2884.690298939968, 5794.15849223665, 492.26768134019045]","[-17.300436312195227, -9.634617721460584, -19.24339054322717, -1.6399130076344497]"
162,"[1615.5655553300662, -320.51904843075357, 5938.575055627932, -5623.489067842767]","[-5.396295616208471, 1.0544464369775475, -19.72327273486369, 18.573192116432924]"
163,"[1579.8436514714065, -1908.1065141441409, 1040.3716264336222, -7287.005654149031]","[-5.268462496905254, 6.34302619233993, -3.4551383950362706, 24.059993005303227]"
164,"[-2023.3402352863313, -2397.3236041440587, -268.67587122224165, -241.1203718087803]","[6.796065758419609, 7.997227926398295, 0.9058844879320017, 0.7500795508934882]"
165,"[901.8938973443051, -4489.601276206703, 3171.697176565345, 494.0240786791583]","[-3.0013280727863547, 14.97792766000407, -10.556734661291374, -1.7090903555992991]"
166,"[4055.213267719484, -4952.560017811954, -582.8417382759308, -919.4938500790721]","[-13.551373654281319, 16.528922549147868, 1.9351753392398914, 2.9673221150261817]"
167,"[2718.400493451161, -14875.723229841717, -584.6796307594618, 1810.604386532668]","[-9.07735250800719, 49.71781985201006, 1.94024714625689, -6.067573757981812]"
168,"[15726.497663211641, -4639.493044677679, -4857.3936596744425, 5582.4234193840275]","[-52.62540335645043, 15.485727844208272, 16.181076876572355, -18.58883998054487]"
169,"[2554.0891403874257, 283.55309062170767, -9456.246047772493, 3490.1028370959034]","[-8.54570223823617, -0.9867428747920611, 31.51276762016617, -11.655412009974427]"
170,"[11159.175581170679, -3966.7642552592984, -4695.774037047296, 718.8153192008481]","[-37.39903364373731, 13.241689502050368, 15.682548587917076, -2.4681833102335253]"
171,"[-3055.1610365976194, -4741.911755338557, -3724.819967605306, 3338.37240905893]","[10.260450257163809, 15.84176163901032, 12.438925500724974, -11.158094899146935]"
172,"[-24537.68069322522, -1488.4936612346924, 26733.143684211318, -14.65127249461908]","[82.29066295229146, 4.957330823770433, -88.83153037211174, -0.04369645067913632]"
173,"[3144.1483345687175, -216.1964478673138, -2473.0424950431884, -6146.894067143365]","[-10.511805167279688, 0.7160958075812331, 8.26853433226173, 20.29063587901711]"
174,"[7366.305530405906, -7172.669141873839, 14834.421313619448, -12119.811835933324]","[-24.63426000228975, 23.95561852367748, -49.21677325301224, 40.137374706752524]"
175,"[-7150.68260699128, 10636.985193813605, 854.8852199995237, 7106.146083883086]","[23.894398805546597, -35.45054931924469, -2.7927337843979116, -23.625596699748137]"
176,"[4627.652628463606, 3150.2691873174144, 14607.314649905435, 6445.981475844258]","[-15.469259460418634, -10.490356956931814, -48.47635998006018, -21.423656475817346]"
177,"[-1761.489896391097, 1498.7237918938836, 6932.731407202989, 4408.100251159719]","[5.8587444250749465, -4.96816203198176, -22.98731497654756, -14.642111458260118]"
178,"[-3863.6875257198426, -6971.793891513977, -21517.873663213562, 11095.331098100354]","[12.875815840598872, 23.236801705599675, 71.45374727375751, -36.795437007077894]"
179,"[-8058.2162966646565, -2675.242706793877, 26635.52898779558, 5410.204714567377]","[26.848009037188927, 8.91917033410676, -88.37062231110288, -17.92680188972907]"
180,"[-2120.114240200139, 21538.77177845812, 14056.181715140812, 14455.341513166244]","[7.050123581215418, -71.55401418529168, -46.71883636805216, -47.950668341695774]"
181,"[-6433.851922469472, 17375.78193732863, 19613.019153118355, 20379.51204829643]","[21.36981662221187, -57.736554078733356, -65.19780103010932, -67.63605273694094]"
182,"[3203.709226444537, 8003.550021886584, 28732.22589875906, -5572.725939262062]","[-10.681307874176595, -26.6599075521717, -95.66351542051723, 18.628912273328353]"
183,"[1629.0489640199908, 2443.0165778472106, 10296.079217038847, 3593.622219600428]","[-5.4431325062031775, -8.158638318193306, -34.32000846987999, -11.836621593669303]"
184,"[1823.525960687446, 5669.062659838855, 2099.765164808462, -5797.022072826456]","[-6.10314403103754, -18.92766458047323, -6.9906956366640705, 19.38486587145585]"
185,"[1428.9647560817934, 13322.970472229841, -10011.425283429824, 10432.81575407658]","[-4.7888149816104475, -44.49230901698613, 33.37414466089511, -34.52831515478741]"
186,"[1389.0099070076233, 12420.703144188134, 423.3766278486776, 2693.5416874658786]","[-4.667707603258714, -41.49777404911419, -1.411546898859513, -8.865479166285054]"
187,"[2507.691605676017, 1685.96305825441, -9185.357907971566, -6273.347001170361]","[-8.403378615541111, -5.636587534159449, 30.550309142324533, 20.913877374906804]"
188,"[2042.8605785084064, 921.4184894558798, -1684.909094147633, 686.9002554920361]","[-6.8533720259104385, -3.080464837494719, 5.596647362170154, -2.225423891839332]"
189,"[839.2031822800417, 3230.1919072591822, -16399.5936965259, 9153.51579844195]","[-2.8358846083008173, -10.763191189445966, 54.36390849604685, -30.263104211772585]"
190,"[-1125.1300366911773, 751.0741773622455, -1489.3971026978058, 8337.609486776308]","[3.7203623108097794, -2.502439275820513, 4.927833263571712, -27.524700895804056]"
191,"[-452.30446939780387, 1522.707907760506, -5733.548746943179, 17331.828555368767]","[1.47775584138965, -5.05662256494698, 18.94113274099939, -57.11460989259203]"
192,"[-765.5294402450351, 924.3573826231345, -6006.373110314234, 20081.88771407824]","[2.5231302577356876, -3.072719571418384, 19.79803894044561, -66.10784173979532]"
193,"[-602.3687805495665, 335.3961458610221, -1691.3856577690913, 18001.153533824996]","[1.9819690989621428, -1.122185924305505, 5.56221766894112, -59.237391254660274]"
194,"[-650.0071958988104, 54.23887927525038, 709.0051067008616, 18986.274022168374]","[2.1397744335804227, -0.1997734189438306, -2.3522302930165955, -62.44307462614794]"
195,"[-97.86304420090887, 246.81915110462648, 1604.313243013046, 21613.209775078434]","[0.30271881913975124, -0.8447773904162299, -5.308658966578399, -71.05062694428739]"
196,"[171.83460104462077, 1247.4526164817319, -7113.340047771959, 11044.826428576822]","[-0.5952481097551423, -4.168992330624636, 23.419253462557208, -36.29339553787076]"
197,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
198,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
199,"[-1668.1332374302015, -726.7269495322246, 4022.9141993039702, 7009.218467057821]","[5.56081205882061, 2.3779513762019886, -13.356068619873515, -23.14950638307235]"
200,"[-2518.8851819509714, -1933.7143695734508, 2557.280778592244, 12129.432102761224]","[8.417423566880025, 6.392814451563463, -8.509747412898864, -40.00751247566479]"
201,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
